cognome,nome,partecipazioni_in_noco,mancanti_nel_catalogo_attuale,percentuale_mancante,tipo_perdita
THOVEZ,MARINA,3641,549,15.1,parziale
LASARDO,ROBERT ALFRED,193,193,100.0,totale
THERMES,STEFANO,1734,153,8.8,parziale
FARGAS,JUAN ANTONIO,233,120,51.5,parziale
PARE',MICHAEL,269,107,39.8,parziale
BROWNING,CHRISTOPHER JAY,134,105,78.4,parziale
PARDEILHAN,FRANCIS MICHAEL,156,105,67.3,parziale
MARCIANO,DAVID,247,104,42.1,parziale
THERMES,VITTORIO,551,58,10.5,parziale
FRANZESE,SAMUEL CHRISTIAN,313,51,16.3,parziale
GUILFOYLE,PAUL,466,50,10.7,parziale
DE STEPHANIS,BRUNO,151,49,32.5,parziale
IZZO,GIUSEPPINA,3510,49,1.4,parziale
REVEL,GIULIA,41,40,97.6,parziale
YOUNGS,JOHN SMEALLIE,303,40,13.2,parziale
CULETTO,GIOVANNA,40,39,97.5,parziale
BIONDI,LYDIA,111,35,31.5,parziale
EDWARDS,STANLEY TED,58,34,58.6,parziale
CASTELNUOVO,FRANCESCO,87,31,35.6,parziale
GRAHAM,CURRIE JT,30,30,100.0,totale
LUCARELLI,MARIO,87,29,33.3,parziale
SINGH,MOSE',604,29,4.8,parziale
GROCHOWSKA,MAGDALENA,1897,26,1.4,parziale
ZUCCA,MARIO,85,26,30.6,parziale
,,24,24,100.0,totale
ESPOSITO,RAFFAELE,35,23,65.7,parziale
LUOTTO,ANDRE' PAUL,82,23,28.0,parziale
SEAGAL,STEVEN,79,23,29.1,parziale
DI CARLO,ALESSANDRO,23,22,95.7,parziale
GROSSMAN,NAOMI WRIGHT,87,20,23.0,parziale
RINALDI,NADIA,119,19,16.0,parziale
SORVINO,MIRA,194,19,9.8,parziale
ASSANTE,ARMAND,367,18,4.9,parziale
ORLANDO,ILARIA,39,17,43.6,parziale
DI CARMINE,MAURIZIO,60,16,26.7,parziale
VITALE,CARLO,56,16,28.6,parziale
DAVITIAN,KENNETH,116,15,12.9,parziale
MEDELEANU,DANA,100,15,15.0,parziale
BARBERO,FRANCO,171,14,8.2,parziale
LA ROSA,MARIA CONCETTA,28,13,46.4,parziale
CECCACCI,ROBERTO,61,12,19.7,parziale
ROVINI,ALESSANDRO GIOVANNI,13,12,92.3,parziale
THERMES,MARCELLO,28,11,39.3,parziale
BALDWIN,WILLIAM EDWARD,164,10,6.1,parziale
OLMI,CORRADO,71,10,14.1,parziale
ROBERTS,ERIC,769,10,1.3,parziale
DI NICOLA,MARIA CRISTINA,26,9,34.6,parziale
DI QUILIO,GIULIA,34,9,26.5,parziale
