anno,artista,titolo,canale,righe_excel,bucket,motivo,nota_correzione,classificazione_aggiornata
2016,REMAR WILLIAM JAMES,THE SHANNARA CHRONICLES 1,SKY ATLANTIC,462,D,cast presente; blocco mandato (dal 2023),WILLIAM JAMES REMAR = REMAR WILLIAM JAMES; opera_id fixture era errato,sì
2017,REMAR WILLIAM JAMES,THE SHANNARA CHRONICLES 1,SKY ATLANTIC,458,D,cast presente; blocco mandato (dal 2023),WILLIAM JAMES REMAR = REMAR WILLIAM JAMES; opera_id fixture era errato,sì
2019,REMAR WILLIAM JAMES,DEXTER 2,SKY ATLANTIC,248,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2018,REMAR WILLIAM JAMES,THE SHANNARA CHRONICLES 1,SKY ATLANTIC+1,242,D,cast presente; blocco mandato (dal 2023),WILLIAM JAMES REMAR = REMAR WILLIAM JAMES; opera_id fixture era errato,sì
2017,DAVITIAN KENNETH,S.W.A.T. - SQUADRA SPECIALE ANTICRIMINE,SKY CINEMA MAX COLLECTION,184,C,opera assente o non riconciliata in catalogo,,no
2019,REMAR WILLIAM JAMES,CITY ON A HILL 1,SKY ATLANTIC,164,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2019,SINGH MOSE,VIKINGS 5,SKY ATLANTIC,160,A+D,cast presente; blocco mandato (dal 2021),Matcher trova SINGH; campagna non persiste per mandato,sì
2019,REMAR WILLIAM JAMES,THE SHANNARA CHRONICLES 1,SKY ATLANTIC,152,D,cast presente; blocco mandato (dal 2023),WILLIAM JAMES REMAR = REMAR WILLIAM JAMES; opera_id fixture era errato,sì
2016,AUTUORO CRISTIAN,MA TU DI CHE SEGNO 6?,SKY CINEMA UNO,150,B,cast assente in catalogo (sull'opera collegata),,no
2016,DAVITIAN KENNETH,A MAN APART,SKY CINEMA UNO,142,A,episodio/serie non matchata (spesso anche mandato),,no
2018,REMAR WILLIAM JAMES,DEXTER 1,SKY ATLANTIC+1,140,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2016,ZUCCA MARIO,Spongebob - Fuori Dall'acqua,SKY CINEMA UNO,137,D,cast presente; match non persistito / da verificare,Cast ZUCCA presente,sì
2019,REMAR WILLIAM JAMES,DEXTER 3,SKY ATLANTIC,136,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2017,BACKUS CHRISTOPHER,MOTHERS AND DAUGHTERS,SKY CINEMA+1,124,D,cast presente; blocco mandato (dal 2023),Matcher trova BACKUS/SORVINO; non persistito,sì
2017,SORVINO MIRA,MOTHERS AND DAUGHTERS,SKY CINEMA+1,124,D,cast presente; blocco mandato (dal 2023),Matcher trova BACKUS/SORVINO; non persistito,sì
2018,SINGH MOSE,Vikings 4,SKY ATLANTIC +1,124,A+D,cast presente; blocco mandato (dal 2021),Matcher trova SINGH; campagna non persiste per mandato,sì
2019,SORVINO MIRA,L'ULTIMA DISCESA,SKY CINEMA POP UP 2,122,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,DEXTER 5,SKY ATLANTIC,120,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2019,REMAR WILLIAM JAMES,DEXTER 6,SKY ATLANTIC,120,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2016,CASTELLUCCIO FEDERICO,The Sopranos 4,Sky Atlantic,116,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2019,SPANG MARIATANITA,QUANTO BASTA,SKY CINEMA UNO,110,D,cast presente; blocco mandato (dal 2021),,sì
2019,SORVINO MIRA,Exposed - Nell'ombra Di Un Delitto,SKY CINEMA UNO,108,D,film/cast ok o parziale ma non in output campagna,,no
2018,CASTELNUOVO FRANCESCO,Rio,SKY CINEMA UNO,102,C,opera assente o non riconciliata in catalogo,,no
2019,DAVITIAN KENNETH,S.W.A.T. - Squadra Speciale Anticrimine,SKY CINEMA UNO,100,C,opera assente o non riconciliata in catalogo,,no
2015,CASTELLUCCIO FEDERICO,The Sopranos 3,Sky Atlantic,98,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2015,DAVITIAN KENNETH,Una Notte In Giallo,SKY CINEMA COMEDY,98,C,opera assente o non riconciliata in catalogo,,no
2016,YOUNGS JOHN SMEALLIE,SWEETWATER,SKY CINEMA UNO,92,B,cast assente in catalogo (sull'opera collegata),,no
2019,REMAR WILLIAM JAMES,DEXTER 4,SKY ATLANTIC,92,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2016,REMAR WILLIAM JAMES,BLADE: TRINITY,SKY CINEMA MAX+1,90,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2016,REMAR WILLIAM JAMES,DUPLEX,TV8,88,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2018,TANO ROCCO,Amore Oggi,SKY CINEMA COMEDY,84,D,film/cast ok o parziale ma non in output campagna,,no
2019,CASTELNUOVO FRANCESCO,RIO,SKY CINEMA HITS/COLLECTION,84,C,opera assente o non riconciliata in catalogo,,no
2015,REMAR WILLIAM JAMES,DJANGO UNCHAINED,SKY CINEMA MAX,82,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2016,ORLANDO ILARIA,THE CALLING,SKY CINEMA UNO,81,D,film/cast ok o parziale ma non in output campagna,,no
2017,CASTELLUCCIO FEDERICO,The Sopranos 4,Sky Atlantic,80,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2016,CASTELLUCCIO FEDERICO,The Sopranos 3,Sky Atlantic,78,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2017,CASTELLUCCIO FEDERICO,The Sopranos 3,Sky Atlantic,78,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2015,REMAR WILLIAM JAMES,Le Verità Nascoste,SKY CINEMA MAX,76,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,BERMUDA TENTACLES,SKY CINEMA MAX +1,76,D,film/cast ok o parziale ma non in output campagna,,no
2019,AUTUORO CRISTIAN,MA TU DI CHE SEGNO 6?,SKY CINEMA UNO,76,B,cast assente in catalogo (sull'opera collegata),,no
2016,FARGAS JUAN ANTONIO,STARSKY & HUTCH,Sky Atlantic Rocks,74,A,episodio/serie non matchata (spesso anche mandato),,no
2018,REMAR WILLIAM JAMES,48 HRS.,SKY CINEMA MAX COLLECTION,74,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,BLADE: TRINITY,SKY CINEMA MAX COLLECTION,72,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2018,DAVITIAN KENNETH,S.W.A.T. - Squadra Speciale Anticrimine,SKY CINEMA ACTION,72,C,opera assente o non riconciliata in catalogo,,no
2019,REMAR WILLIAM JAMES,DEXTER 1,SKY ATLANTIC,72,A+D,cast presente; mandato + possibile gap episodio,Cast REMAR su opera OK; mandato post-2019,sì
2016,CROCCOLO CARLO,Tre Uomini E Una Gamba,SKY CINEMA UNO,71,C,opera assente o non riconciliata in catalogo,,no
2015,CASTELLUCCIO FEDERICO,The Sopranos 4,Sky Atlantic,70,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2017,MCNAMARA WILLIAM WEST,CHASERS,SKY CINEMA CLASSICS,68,D,film/cast ok o parziale ma non in output campagna,,no
2016,PARE MICHAEL,COOL DOG,SKY CINEMA FAMILY +1,66,D,film/cast ok o parziale ma non in output campagna,,no
2015,MONITILLO RICCARDO MONITILLO ROCCO RICCARDO,Ti Ricordi Di Me?,SKY CINEMA PASSION,65,D,artista esiste (nome cella mal formattato),In anagrafica: MONITILLO ROCCO RICCARDO,sì
2016,ZUCCA MARIO,SAMBA,SKY CINEMA UNO,64,D,film/cast ok o parziale ma non in output campagna,,no
2015,AUTUORO CRISTIAN,MA TU DI CHE SEGNO 6?,SKY CINEMA CHRISTMAS,62,B,cast assente in catalogo (sull'opera collegata),,no
2016,CASTELLUCCIO FEDERICO,The Sopranos 2,Sky Atlantic,62,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2016,SORVINO MIRA,Alla Ricerca Di Mamma Natale,SKY CINEMA PASSION,62,D,film/cast ok o parziale ma non in output campagna,,no
2018,DAVITIAN KENNETH,WALK OF SHAME,SKY CINEMA COMEDY,62,C,opera assente o non riconciliata in catalogo,,no
2017,GUILFOYLE PAUL,Il Caso Spotlight,SKY CINEMA +1,61,D,film/cast ok o parziale ma non in output campagna,,no
2015,CASTELLUCCIO FEDERICO,The Sopranos 2,Sky Atlantic,60,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2017,CASTELLUCCIO FEDERICO,The Sopranos 2,Sky Atlantic,60,A+D,cast presente; blocco mandato (dal 2021),Cast su I SOPRANO OK,sì
2017,SORVINO MIRA,A PRIMA VISTA,SKY CINEMA PASSION,60,D,film/cast ok o parziale ma non in output campagna,,no
2017,YOUNGS JOHN SMEALLIE,BAD COMPANY,SKY CINEMA CLASSICS,58,B,cast assente in catalogo (sull'opera collegata),,no
2016,ZUCCA MARIO,I Cavalieri Dello Zodiaco - La Leggenda Del Grande Tempio,SKY CINEMA UNO,57,D,film/cast ok o parziale ma non in output campagna,,no
2016,GUILFOYLE PAUL,Mrs. Doubtfire - Mammo Per Sempre,SKY CINEMA UNO,56,D,film/cast ok o parziale ma non in output campagna,,no
2016,TANO ROCCO,Amore Oggi,SKY CINEMA COMEDY,56,D,film/cast ok o parziale ma non in output campagna,,no
2017,YOUNGS JOHN SMEALLIE,SWEETWATER,SKY CINEMA MAX +1,56,B,cast assente in catalogo (sull'opera collegata),,no
2018,PARE MICHAEL,Scomparsa,SKY CINEMA UNO,55,D,film/cast ok o parziale ma non in output campagna,,no
2017,FARGAS JUAN ANTONIO,UN RAGAZZO VERAMENTE SPECIALE,SKY CINEMA COMEDY,54,B,cast assente in catalogo (sull'opera collegata),,no
2017,PARE MICHAEL,COOL DOG,SKY UNO LOVES ANIMALS,54,D,film/cast ok o parziale ma non in output campagna,,no
2015,ZUCCA MARIO,PARKER,SKY CINEMA MAX,53,B,cast assente in catalogo (sull'opera collegata),,no
2016,MCNAMARA WILLIAM WEST,CHASERS,SKY CINEMA COMEDY,52,D,film/cast ok o parziale ma non in output campagna,,no
2017,GUILFOYLE PAUL,MRS. DOUBTFIRE - MAMMO PER SEMPRE,SKY CINEMA FAMILY,52,D,film/cast ok o parziale ma non in output campagna,,no
2019,TREVISANELLO GIOVANNI,LEZIONI DI CIOCCOLATO,SKY CINEMA UNO,51,C,opera assente o non riconciliata in catalogo,,no
2016,GUILFOYLE PAUL,Air Force One,SKY CINEMA UNO,50,D,film/cast ok o parziale ma non in output campagna,,no
2016,YOUNGS JOHN SMEALLIE,CARNIVÀLE,Sky Atlantic,50,A,episodio/serie non matchata (spesso anche mandato),,no
2017,REMAR WILLIAM JAMES,48 HRS.,SKY CINEMA CLASSICS,50,D,film/cast ok o parziale ma non in output campagna,,no
2019,TANO ROCCO,Amore Oggi,SKY CINEMA UNO,50,D,film/cast ok o parziale ma non in output campagna,,no
2017,CROCCOLO CARLO,Cose Da Pazzi,SKY CINEMA COMEDY,49,C,opera assente o non riconciliata in catalogo,,no
2017,ZUCCA MARIO,BIG STONE GAP/I SEGRETI DI BIG STONE GAP,SKY CINEMA +1,49,D,film/cast ok o parziale ma non in output campagna,,no
2017,PARE MICHAEL,Codice D'emergenza,SKY CINEMA +1,48,D,film/cast ok o parziale ma non in output campagna,,no
2019,REMAR WILLIAM JAMES,SPEED KILLS,SKY CINEMA UNO,48,D,film/cast ok o parziale ma non in output campagna,,no
2017,ORLANDO ILARIA,Tutto Può Accadere A Broadway,SKY CINEMA +1,47,D,film/cast ok o parziale ma non in output campagna,,no
2015,BORKAN GENE,SEVEN,SKY CINEMA MAX,46,D,film/cast ok o parziale ma non in output campagna,,no
2015,REMAR WILLIAM JAMES,BLADE: TRINITY,SKY CINEMA MAX,46,D,cast presente; blocco mandato (dal 2023),Cast REMAR presente sull'opera,sì
2017,YOUNGS JOHN SMEALLIE,The Crossing Guard,SKY CINEMA CULT,46,D,film/cast ok o parziale ma non in output campagna,,no
2018,ZUCCA MARIO,Parker,SKY CINEMA UNO,46,B,cast assente in catalogo (sull'opera collegata),,no
2019,DAVITIAN KENNETH,WALK OF SHAME,SKY CINEMA UNO,46,C,opera assente o non riconciliata in catalogo,,no
2019,REMAR WILLIAM JAMES,USS INDIANAPOLIS: MEN OF COURAGE,SKY CINEMA UNO,46,D,film/cast ok o parziale ma non in output campagna,,no
2019,YOUNGS JOHN SMEALLIE,DO THE RIGHT THING,SKY CINEMA HITS/COLLECTION,46,D,film/cast ok o parziale ma non in output campagna,,no
2015,ZUCCA MARIO,Spongebob - Fuori Dall'acqua,SKY CINEMA UNO,45,D,cast presente; match non persistito / da verificare,Cast ZUCCA presente,sì
2016,BORKAN GENE,PHILADELPHIA,SKY CINEMA UNO,45,D,film/cast ok o parziale ma non in output campagna,,no
2015,ASSANTE ARMAND,La Strada Per El Dorado,SKY CINEMA FAMILY,44,D,film/cast ok o parziale ma non in output campagna,,no
2016,REMAR WILLIAM JAMES,48 HRS.,SKY CINEMA MAX+1,44,D,film/cast ok o parziale ma non in output campagna,,no
2016,SEAGAL STEVEN,A GOOD MAN,SKY CINEMA MAX +1,44,D,film/cast ok o parziale ma non in output campagna,,no
2016,ZUCCA MARIO,Box Office 3d - Il Film Dei Film,SKY CINEMA COMEDY,44,D,film/cast ok o parziale ma non in output campagna,,no
2017,REMAR WILLIAM JAMES,I Cavalieri Dalle Lunghe Ombre,SKY CINEMA CLASSICS,44,D,film/cast ok o parziale ma non in output campagna,,no
